"","SR","x","y","x","y","ACAFLA01","ACAFLA02"
"1",4,-149.375,70.375,-149.375,70.375,0,0
"2",2,18.875,68.375,18.875,68.375,0,0
"3",2,19.125,68.375,19.125,68.375,0,0
"4",2,33.875,68.125,33.875,68.125,0,0
"5",2,34.125,68.125,34.125,68.125,0,0
"6",2,33.875,67.875,33.875,67.875,0,0
"7",2,34.125,67.875,34.125,67.875,0,0
"8",14,-149.875,67.125,-149.875,67.125,0,0
"9",22,-148.625,65.375,-148.625,65.375,0,1
"10",20,-146.625,65.125,-146.625,65.125,0,0
"11",15,-145.125,65.125,-145.125,65.125,0,0
"12",13,-146.375,64.875,-146.375,64.875,0,0
"13",33,-147.875,63.375,-147.875,63.375,0,1
"14",30,-146.875,63.125,-146.875,63.125,1,1
"15",13,-145.875,63.125,-145.875,63.125,0,0
"16",4,-145.375,63.125,-145.375,63.125,0,0
"17",15,-159.375,62.875,-159.375,62.875,0,0
"18",3,8.875,61.375,8.875,61.375,0,0
"19",13,-148.875,61.125,-148.875,61.125,0,0
"20",5,-148.375,61.125,-148.375,61.125,0,0
"21",2,-145.625,61.125,-145.625,61.125,0,0
"23",3,-128.375,60.375,-128.375,60.375,0,0
"24",3,-148.625,60.125,-148.625,60.125,0,0
"25",2,-150.375,59.625,-150.375,59.625,0,0
"26",3,-134.625,59.125,-134.625,59.125,0,0
"27",3,15.375,59.125,15.375,59.125,0,0
"28",2,-124.625,58.875,-124.625,58.875,0,0
"29",5,-155.125,58.625,-155.125,58.625,0,0
"30",2,-121.375,58.625,-121.375,58.625,0,0
"31",3,-133.375,58.375,-133.375,58.375,0,0
"32",4,-129.125,57.875,-129.125,57.875,0,0
"33",2,-121.125,57.875,-121.125,57.875,0,0
"34",5,-129.375,57.625,-129.375,57.625,0,0
"35",4,-129.875,57.375,-129.875,57.375,0,0
"36",2,-129.625,57.375,-129.625,57.375,0,0
"37",5,-120.375,55.875,-120.375,55.875,0,0
"39",3,-127.125,55.625,-127.125,55.625,0,0
"40",2,-121.375,55.625,-121.375,55.625,0,0
"41",54,13.375,55.625,13.375,55.625,0,0
"42",3,13.625,55.625,13.625,55.625,0,0
"43",3,-121.125,55.375,-121.125,55.375,0,0
"45",2,-126.625,55.125,-126.625,55.125,0,0
"46",5,-121.125,55.125,-121.125,55.125,0,0
"48",2,-121.125,54.875,-121.125,54.875,0,0
"52",2,-109.875,54.375,-109.875,54.375,0,0
"57",7,9.625,53.875,9.625,53.875,0,0
"58",3,-116.125,53.375,-116.125,53.375,0,0
"60",3,-118.625,53.125,-118.625,53.125,0,0
"62",2,-117.625,52.875,-117.625,52.875,0,0
"63",3,-117.375,52.875,-117.375,52.875,0,0
"64",2,-117.125,52.875,-117.125,52.875,0,0
"65",2,19.125,52.625,19.125,52.625,0,0
"67",4,-120.375,52.375,-120.375,52.375,0,0
"69",2,-114.125,52.375,-114.125,52.375,0,0
"70",3,-115.625,52.125,-115.625,52.125,0,0
"71",4,-60.125,52.125,-60.125,52.125,0,0
"72",4,-59.875,52.125,-59.875,52.125,0,0
"74",4,-114.375,51.875,-114.375,51.875,0,0
"75",4,-60.125,51.875,-60.125,51.875,0,0
"76",4,-59.875,51.875,-59.875,51.875,0,0
"77",2,-115.125,51.625,-115.125,51.625,0,0
"78",2,-114.875,51.625,-114.875,51.625,0,0
"79",4,-115.125,51.375,-115.125,51.375,0,0
"81",4,-113.125,51.375,-113.125,51.375,0,0
"82",6,0.625,51.375,0.625,51.375,0,0
"83",2,4.375,51.125,4.375,51.125,0,0
"85",2,-117.125,50.875,-117.125,50.875,0,0
"86",2,-114.875,50.875,-114.875,50.875,0,0
"87",2,15.625,50.875,15.625,50.875,0,0
"88",4,9.125,50.625,9.125,50.625,0,0
"89",3,13.625,50.625,13.625,50.625,0,0
"90",2,15.625,50.625,15.625,50.625,0,0
"91",2,-119.375,50.375,-119.375,50.375,0,0
"92",3,-113.375,49.625,-113.375,49.625,0,0
"93",3,-120.625,49.125,-120.625,49.125,0,0
"94",2,99.125,49.125,99.125,49.125,0,0
"95",7,-94.125,48.875,-94.125,48.875,0,0
"96",9,9.125,48.875,9.125,48.875,0,0
"97",5,13.875,48.875,13.875,48.875,0,0
"98",44,20.875,48.625,20.875,48.625,0,0
"99",4,-56.125,48.125,-56.125,48.125,0,0
"100",4,-55.875,48.125,-55.875,48.125,0,0
"101",4,-95.625,47.875,-95.625,47.875,0,0
"102",4,-56.125,47.875,-56.125,47.875,0,0
"103",4,-55.875,47.875,-55.875,47.875,0,0
"104",9,8.875,47.875,8.875,47.875,0,0
"105",9,9.125,47.875,9.125,47.875,0,0
"108",2,-120.875,46.625,-120.875,46.625,0,0
"109",14,6.375,46.625,6.375,46.625,0,0
"110",12,6.625,46.625,6.625,46.625,0,0
"111",4,7.375,46.125,7.375,46.125,0,0
"112",2,-71.625,45.625,-71.625,45.625,0,0
"113",2,-71.375,45.625,-71.375,45.625,0,0
"114",4,8.625,45.625,8.625,45.625,0,0
"118",2,22.625,44.625,22.625,44.625,0,0
"120",3,40.125,44.125,40.125,44.125,0,0
"121",3,40.625,44.125,40.625,44.125,0,0
"122",6,19.375,43.875,19.375,43.875,0,0
"123",6,19.625,43.875,19.625,43.875,0,0
"129",13,23.375,43.125,23.375,43.125,0,0
"130",20,1.125,42.875,1.125,42.875,0,0
"131",8,-76.625,42.375,-76.625,42.375,0,0
"132",6,-73.875,42.125,-73.875,42.125,0,0
"133",17,-73.125,42.125,-73.125,42.125,0,0
"134",2,-1.375,42.125,-1.375,42.125,0,0
"135",3,-86.375,41.875,-86.375,41.875,0,0
"136",2,-7.125,41.875,-7.125,41.875,0,0
"139",4,0.125,41.875,0.125,41.875,0,0
"140",2,-7.375,41.375,-7.375,41.375,0,0
"141",4,-5.125,41.375,-5.125,41.375,0,0
"142",2,44.875,41.125,44.875,41.125,0,0
"143",2,-73.875,40.875,-73.875,40.875,0,0
"144",3,-5.125,40.875,-5.125,40.875,0,0
"146",5,-2.125,40.875,-2.125,40.875,0,0
"148",10,-76.125,40.625,-76.125,40.625,0,0
"149",10,-75.875,40.625,-75.875,40.625,0,0
"153",5,44.625,40.625,44.625,40.625,0,0
"154",6,-74.125,40.375,-74.125,40.375,0,0
"155",5,-7.625,40.375,-7.625,40.375,0,0
"157",6,-4.625,40.375,-4.625,40.375,0,0
"158",5,-4.375,40.375,-4.375,40.375,0,0
"159",5,-4.125,40.375,-4.125,40.375,0,0
"161",3,44.625,40.375,44.625,40.375,0,0
"162",6,-74.375,40.125,-74.375,40.125,0,0
"163",6,-7.625,40.125,-7.625,40.125,0,0
"164",3,-6.125,40.125,-6.125,40.125,0,0
"165",4,46.125,40.125,46.125,40.125,0,0
"166",74,-74.625,39.875,-74.625,39.875,0,0
"167",2,26.625,39.875,26.625,39.875,0,0
"168",4,46.375,39.125,46.375,39.125,0,0
"169",5,-5.125,38.875,-5.125,38.875,0,0
"171",13,-120.375,38.625,-120.375,38.625,0,0
"172",13,-120.125,38.625,-120.125,38.625,0,0
"173",2,-119.125,38.625,-119.125,38.625,0,0
"174",2,-7.875,38.125,-7.875,38.125,0,0
"175",9,35.125,38.125,35.125,38.125,0,0
"176",2,35.375,37.875,35.375,37.875,0,0
"177",5,-4.125,37.375,-4.125,37.375,0,0
"182",2,30.375,36.875,30.375,36.875,0,0
"183",10,-118.625,36.625,-118.625,36.625,0,0
"184",22,-105.375,35.875,-105.375,35.875,0,0
"185",4,-105.125,35.875,-105.125,35.875,0,0
"187",7,-106.625,35.625,-106.625,35.625,0,0
"188",18,-106.375,35.375,-106.375,35.375,0,0
"189",11,-107.875,35.125,-107.875,35.125,0,0
"190",4,-107.875,34.875,-107.875,34.875,0,0
"192",4,-106.625,33.875,-106.625,33.875,0,0
"193",3,-104.625,33.625,-104.625,33.625,0,0
"195",3,-16.625,28.125,-16.625,28.125,0,0
"196",11,-98.625,19.125,-98.625,19.125,0,0
"197",8,-73.875,11.125,-73.875,11.125,0,0
"198",2,-72.375,10.875,-72.375,10.875,0,0
"199",2,-72.375,10.625,-72.375,10.625,0,0
"200",8,-72.375,4.625,-72.375,4.625,0,0
"201",5,-72.125,4.625,-72.125,4.625,0,0
"202",2,-73.625,4.375,-73.625,4.375,0,0
"203",2,-77.875,0.625,-77.875,0.625,0,0
"205",2,-77.625,-2.875,-77.625,-2.875,0,0
"206",2,-77.375,-2.875,-77.375,-2.875,0,0
"207",2,-77.625,-3.125,-77.625,-3.125,0,0
"208",2,-77.375,-3.125,-77.375,-3.125,0,0
"210",2,-78.125,-4.125,-78.125,-4.125,0,0
"211",18,-78.875,-4.875,-78.875,-4.875,0,0
"212",34,-76.375,-5.375,-76.375,-5.375,0,0
"213",2,-75.875,-5.375,-75.875,-5.375,0,0
"214",13,-78.875,-5.875,-78.875,-5.875,0,0
"215",26,-77.625,-5.875,-77.625,-5.875,0,0
"216",29,-77.125,-6.625,-77.125,-6.625,0,0
"217",2,-75.625,-6.625,-75.625,-6.625,0,0
"218",3,-77.375,-7.625,-77.375,-7.625,0,0
"219",11,-75.875,-8.375,-75.875,-8.375,0,0
"222",10,-75.375,-10.125,-75.375,-10.125,0,0
"225",39,-71.875,-11.375,-71.875,-11.375,0,0
"226",6,-38.875,-12.125,-38.875,-12.125,0,0
"229",3,-70.375,-12.875,-70.375,-12.875,0,0
"231",28,-72.875,-13.875,-72.875,-13.875,0,0
"232",2,-72.625,-13.875,-72.625,-13.875,0,0
"233",7,-55.625,-15.625,-55.625,-15.625,0,0
"234",7,-55.625,-15.875,-55.625,-15.875,0,0
"236",3,-68.875,-18.375,-68.875,-18.375,0,0
"239",5,-45.375,-22.125,-45.375,-22.125,0,0
"240",2,-70.375,-29.375,-70.375,-29.375,0,0
"242",3,-69.375,-33.125,-69.375,-33.125,0,0
"243",3,-69.125,-33.125,-69.125,-33.125,0,0
"244",2,-70.875,-34.375,-70.875,-34.375,0,0
"246",3,-72.125,-37.625,-72.125,-37.625,0,0
"249",3,-71.875,-39.125,-71.875,-39.125,0,0
"251",28,-70.625,-41.125,-70.625,-41.125,0,0
"252",2,-72.375,-42.625,-72.375,-42.625,0,0
"253",2,-71.625,-43.625,-71.625,-43.625,0,0
